longitude,latitude,time,u10,v10,msl,msdwlwrf,ssr
76.9000015258789,28.649999618530273,2008-01-04 21:00:00,1.957323,-1.4295796,101875.91,271.8092,0.0
76.9000015258789,28.649999618530273,2008-01-04 22:00:00,1.6747179,-0.9982754,101877.07,277.83887,0.0
76.9000015258789,28.649999618530273,2008-01-04 23:00:00,1.7759948,-0.35511908,101827.27,279.9573,0.0
76.9000015258789,28.649999618530273,2008-01-05 00:00:00,1.843715,-0.1401003,101858.695,287.23462,0.0
76.9000015258789,28.649999618530273,2008-01-05 01:00:00,1.8204677,-0.31506035,101907.33,304.1052,0.0
76.9000015258789,28.649999618530273,2008-01-05 02:00:00,1.8382568,-0.29526848,101934.29,290.56042,2877.0
76.9000015258789,28.649999618530273,2008-01-05 03:00:00,1.7242446,-0.51582897,102010.37,283.52094,226348.88
76.9000015258789,28.649999618530273,2008-01-05 04:00:00,1.3688657,-0.86036575,102098.91,282.18182,778367.25
76.9000015258789,28.649999618530273,2008-01-05 05:00:00,1.1412455,-1.0709512,102130.664,282.1233,1359951.8
76.9000015258789,28.649999618530273,2008-01-05 06:00:00,0.7227961,-0.81492364,102047.266,289.62378,1739398.0
76.9000015258789,28.649999618530273,2008-01-05 07:00:00,0.42058262,-0.31189364,101893.9,296.8901,1914138.9
76.9000015258789,28.649999618530273,2008-01-05 08:00:00,0.5291369,-0.23969296,101828.58,303.9186,1915245.4
76.9000015258789,28.649999618530273,2008-01-05 09:00:00,0.97325927,-0.3947028,101731.8,313.44604,1626489.1
76.9000015258789,28.649999618530273,2008-01-05 10:00:00,1.0415858,-0.85640734,101654.164,316.44626,1173304.8
76.9000015258789,28.649999618530273,2008-01-05 11:00:00,1.0322869,-0.6303052,101683.26,315.23154,683870.8
76.9000015258789,28.649999618530273,2008-01-05 12:00:00,1.5340219,-2.279838,101676.71,307.74933,216655.75
76.9000015258789,28.649999618530273,2008-01-05 13:00:00,1.6069978,-2.1013947,101742.805,300.0147,796.75
76.9000015258789,28.649999618530273,2008-01-05 14:00:00,1.2942727,-1.6559986,101792.41,308.4738,0.0
76.9000015258789,28.649999618530273,2008-01-05 15:00:00,1.0492675,-2.2644796,101866.836,317.13043,0.0
76.9000015258789,28.649999618530273,2008-01-05 16:00:00,0.6843877,-2.557716,101896.17,298.64267,0.0
76.9000015258789,28.649999618530273,2008-01-05 17:00:00,0.06479955,-2.3561554,101881.19,292.88742,0.0
76.9000015258789,28.649999618530273,2008-01-05 18:00:00,0.20408052,-2.4902651,101869.164,289.21033,0.0
76.9000015258789,28.649999618530273,2008-01-05 19:00:00,1.5588863,-1.8558172,101873.82,290.23114,0.0
76.9000015258789,28.649999618530273,2008-01-05 20:00:00,1.651875,-0.8955161,101873.53,292.4008,0.0
76.9000015258789,28.649999618530273,2008-01-05 21:00:00,1.5311918,-0.26328486,101831.055,314.10828,0.0
76.9000015258789,28.649999618530273,2008-01-05 22:00:00,1.6282237,-0.31696036,101781.55,330.29837,0.0
76.9000015258789,28.649999618530273,2008-01-05 23:00:00,1.1525658,-0.77755654,101729.42,338.58182,0.0
76.9000015258789,28.649999618530273,2008-01-06 00:00:00,0.8679394,-1.3534205,101693.93,338.95868,0.0
76.9000015258789,28.649999618530273,2008-01-06 01:00:00,1.8518009,-1.0251924,101789.11,334.04495,0.0
76.9000015258789,28.649999618530273,2008-01-06 02:00:00,2.2969341,0.0685851,101881.92,331.3155,2168.75
76.9000015258789,28.649999618530273,2008-01-06 03:00:00,2.0689094,0.18021119,101974.29,317.26947,165357.62
76.9000015258789,28.649999618530273,2008-01-06 04:00:00,1.224329,-0.886966,101999.31,307.01392,647886.94
76.9000015258789,28.649999618530273,2008-01-06 05:00:00,0.91423166,-1.3830292,102016.914,309.59702,1150554.8
76.9000015258789,28.649999618530273,2008-01-06 06:00:00,0.6831748,-1.3236537,102012.26,307.38345,1604757.2
76.9000015258789,28.649999618530273,2008-01-06 07:00:00,0.584728,-1.0798179,101974.44,323.58084,1723287.1
76.9000015258789,28.649999618530273,2008-01-06 08:00:00,0.4686942,-1.1163933,101892.98,314.9132,1852439.6
76.9000015258789,28.649999618530273,2008-01-06 09:00:00,0.19902682,-1.2948368,101813.164,322.06247,1674467.6
76.9000015258789,28.649999618530273,2008-01-06 10:00:00,0.5798764,-1.8971426,101777.664,321.76245,1268066.6
76.9000015258789,28.649999618530273,2008-01-06 11:00:00,0.3003037,-2.077011,101808.8,317.04263,765398.9
76.9000015258789,28.649999618530273,2008-01-06 12:00:00,0.13615829,-2.4175894,101848.31,311.21054,239582.75
76.9000015258789,28.649999618530273,2008-01-06 13:00:00,-0.10965544,-2.2660627,101913.336,306.18338,1062.25
76.9000015258789,28.649999618530273,2008-01-06 14:00:00,-0.5016233,-2.1780286,101975.6,302.82098,0.0
76.9000015258789,28.649999618530273,2008-01-06 15:00:00,-0.9762702,-2.5566075,101979.87,301.0904,0.0
76.9000015258789,28.649999618530273,2008-01-06 16:00:00,-0.8978362,-2.4806068,101981.03,299.6159,0.0
76.9000015258789,28.649999618530273,2008-01-06 17:00:00,-0.35546923,-2.0896778,102037.32,297.5999,0.0
